gene_symbol,modules,n_modules,sub_mito_location,evidence_weight
CYC1,1|5|10,3,MIM,1.9542
SDHB,1|3|5,3,MIM,1.816
COQ7,5,1,MIM,1.895
SDHA,1|3,2,MIM,1.6359
UQCRC1,1|8,2,MIM,1.4954
COQ5,5,1,MIM,1.7367
PDHA1,3,1,Matrix,1.5875
COQ9,5,1,MIM,1.4923
MRPL12,6|7,2,Matrix,1.4485
ATP5F1D,2,1,MIM,1.8654
COX5A,2,1,MIM,1.5105
ISCA2,5,1,Matrix,1.6279
PMPCB,8,1,Matrix,1.4251
UQCRFS1,1|5,2,MIM,2.0
ATP5F1A,2,1,MIM,1.5467
OGDH,3,1,Matrix,1.6484
PDHB,3,1,Matrix,1.6597
UQCRC2,1|8,2,MIM,1.6372
SDHD,1|3|5,3,MIM,2.0
MRPS35,6,1,Matrix,1.6309
UQCRQ,1,1,MIM,1.8289
MRPL53,6,1,Matrix,1.8289
DBT,5,1,Matrix,1.3449
PDK4,3,1,MIM,1.5476
MDH2,3,1,Matrix,1.7636
MRPS27,6,1,Matrix,1.3382
CS,3,1,Matrix,1.8872
GRPEL1,5|8,2,Matrix,1.3699
DLAT,3,1,Matrix,1.9458
LRPPRC,7,1,Matrix,1.4225
DLST,3|5,2,Matrix,1.5304
PDHX,3,1,Matrix,1.5196
GFM1,6,1,Matrix,1.5951
MPC2,3,1,MIM,2.0
NDUFS1,0|5,2,MIM,1.7527
MRPL46,6,1,Matrix,1.2507
ATP5F1E,2,1,MIM,2.0
SLC25A3,5|9|13,3,MIM,2.0
MRPS23,6,1,Matrix,2.0
FH,3,1,Matrix,1.4723
PMPCA,8,1,Matrix,1.3905
ATP5F1B,2,1,MIM,1.5572
SDHAF4,1,1,Matrix,2.0
UQCR10,1,1,MIM,2.0
ISCA1,5,1,Matrix,1.7885
SUCLA2,3,1,Matrix,1.3316
COQ3,5,1,MIM,1.5872
IARS2,6,1,Matrix,1.3604
MRPS15,6,1,Matrix,1.664
IDH3A,3,1,Matrix,1.8442
COX11,2|5,2,MIM,1.5142
ETFDH,4|5|10,3,MIM,1.7741
TIMM10,8,1,MIM,1.8628
MRPL34,6,1,Matrix,1.5336
MRPL2,6,1,Matrix,1.7364
BCKDHA,5,1,MIM,1.3248
UQCRH,1,1,MIM,1.9768
HIGD2A,1,1,MIM,1.963
ATP5PO,2,1,MIM,1.7885
ECHS1,4|5,2,Matrix,1.2454
LETMD1,9,1,Membrane,1.078
COX6A1,2,1,MIM,1.1616
COX15,2|5,2,MIM,1.6812
AFG3L2,8,1,MIM,1.7244
HADHA,4|5,2,MIM,1.3604
ETFA,4|5|10,3,Matrix,1.6934
NDUFS7,0|5,2,MIM,1.1986
CPT2,4,1,MIM,1.316
BCKDHB,5,1,MIM,1.6136
