cell_line_id,perturbation_gene,delta_00,delta_01,delta_02,delta_03,delta_04,delta_05,delta_06,delta_07,delta_08,delta_09,delta_10,delta_11,delta_12,delta_13
ACH-000001,BAD,0.0,0.0,2.6906093517442287,0.0,2.6193411751036706,0.0,0.0,0.0,0.0,0.0,0.0,1.8460217907473293,-32.26530154781935,0.0
ACH-000001,LAP3,0.0,0.0,2.6906093517442287,0.0,2.6193411751036706,0.0,0.0,0.0,0.009419836595663705,0.0,0.0,1.8460217907473293,0.0,0.0
ACH-000001,NDUFAF7,-28.46228718778742,0.0,2.6906093517442287,0.0,2.6193411751036706,0.11347216911696023,0.0,0.0,0.0,0.0,0.0,1.8460217907473293,2.1764625125283033,0.0
ACH-000001,ARF5,0.0,-1.3396823722239048,0.0,-1.8084854872761866,0.0,0.003840189048875147,0.0,-2.517403019217454,0.0,-2.397400948988661,-2.3045874000113713,0.0,0.0,-1.3396823722239048
ACH-000001,POLDIP2,0.0,0.0,2.6906093517442287,0.0,2.6193411751036706,0.0,0.0,0.00023864962735132807,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000001,AK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016282141436249667,0.0,0.0,0.0
ACH-000001,NDUFAB1,-0.00027313691016518134,-1.3396823722239048,0.0,0.0,-0.000688092504055094,-0.0003417193158341586,0.0,-2.517403019217454,0.0,0.0,0.0,0.0,0.0,-1.3396823722239048
ACH-000001,PDK4,0.0,-1.3396823722239048,0.0,0.010456236464313172,0.0,-5.430453807740548,0.0,-2.517403019217454,0.0,0.0,-0.4959238708885323,0.0,0.0,-1.3396823722239048
ACH-000001,SLC25A13,2.093458523675622,0.0,2.6906093517442287,-0.017776003851620835,2.6193411751036706,-12.66132823608779,0.0,0.0,0.0,0.002146846064560305,0.0,1.8460217907473293,2.1764625125283033,-10.123301340895232
ACH-000001,HCCS,0.0,-1.3396823722239048,0.0,-1.8084854872761866,0.0,-0.002873577134297652,0.0,-2.517403019217454,0.0,-2.397400948988661,-2.3045874000113713,0.0,0.0,-1.3396823722239048
ACH-000001,SLC25A5,0.0,0.0,2.6906093517442287,0.0,2.6193411751036706,0.0,0.0,0.0,0.0,-0.009900139048743912,0.0,0.0,0.0013409477626084914,0.0
ACH-000001,MCUB,0.0,-1.3396823722239048,0.0,0.0,0.0,-4.6037280041741155,0.0,0.0,0.0,0.0009486418822304314,0.0,0.0,0.0,18.900388230696997
ACH-000001,LIG3,0.0,-1.3396823722239048,0.0,0.0,0.0,-4.6037280041741155,0.0,20.140792375377817,0.0,0.0,0.0,0.0,0.0,-1.3396823722239048
ACH-000001,ACSM3,0.0,0.0,2.6906093517442287,0.0,-26.80651879382039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000001,CROT,0.0,-1.3396823722239048,0.0,0.0,0.005832649100684154,-5.430453807740548,0.0,-2.517403019217454,0.0,-2.397400948988661,-2.3045874000113713,0.0,0.0,-1.3396823722239048
ACH-000001,PDK2,0.0,0.0,2.6906093517442287,-0.03855276350517923,2.6193411751036706,0.0,0.0,0.0,0.0,0.0,0.0,1.8460217907473293,2.1764625125283033,0.0
ACH-000001,SPATA20,0.0,0.0,0.0,0.0,0.0,-0.000346161878815064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000001,AGK,0.0,-1.3396823722239048,0.0,0.0,-0.00210044322241087,-5.430453807740548,0.0,-2.517403019217454,-0.0006861823604271799,0.0,0.0,0.0,0.0,-1.3396823722239048
ACH-000001,COX10,2.093458523675622,0.0,-26.071688031598608,0.0,2.6193411751036706,-12.632206759053187,3.213067038782384,0.0,2.241196198632167,0.0,0.0,1.8460217907473293,2.1764625125283033,0.0
ACH-000001,ELAC2,0.0,0.0,2.6906093517442287,0.0,2.6193411751036706,0.0,0.0,-0.009698120386285359,0.0,0.0,0.0,1.8460217907473293,0.0,0.0
ACH-000004,BAD,0.0,0.0,0.0,0.0,0.0,-3.8256331302291926,-3.213067038782384,0.0,-2.241196198632167,-2.397400948988718,-2.3045874000113713,-1.846021790747372,32.26735891403406,0.0
ACH-000004,LAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005672480065294992,0.0,0.0,0.0,0.0,1.3396823722239333
ACH-000004,NDUFAF7,-18.815677018889872,1.3396823722239048,0.0,1.8084854872762435,0.0,0.0,0.0,2.517403019217454,0.0,0.0,0.0,0.0,0.0,1.3396823722239333
ACH-000004,ARF5,0.0,0.0,0.0,0.0,0.0,12.669383338371636,-3.213067038782384,0.0,-2.241196198632167,-2.397400948988718,-2.3045874000113713,-1.846021790747372,-2.1764625125283033,0.0
ACH-000004,POLDIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.654667375366515e-05,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000004,AK2,2.0934585236755936,1.3396823722239048,2.6906093517442287,1.8084854872762435,2.6193411751036138,1.7182928466283443,0.0,2.517403019217454,0.0,0.0,-13.986061335546836,0.0,0.0,1.3396823722239333
ACH-000004,NDUFAB1,-0.004104901157965813,0.0,0.0,0.0,-0.01034115716903726,12.655116403792409,-3.213067038782384,0.0,-2.241196198632167,-2.397400948988718,-2.3045874000113713,-1.846021790747372,-2.1764625125283033,0.0
ACH-000004,PDK4,0.0,0.0,0.0,0.028783191278063964,0.0,-3.8256331302291926,-3.213067038782384,0.0,-2.241196198632167,-2.397400948988718,-2.3045874000113713,-1.846021790747372,-2.1764625125283033,0.0
ACH-000004,SLC25A13,0.0,0.0,0.0,0.007606242712338276,0.0,12.660712521369367,-3.213067038782384,0.0,-2.241196198632167,7.275898375880571,-2.3045874000113713,-1.846021790747372,-2.1764625125283033,0.011911602090895694
ACH-000004,HCCS,0.0,0.0,0.0,0.0,0.0,12.656002262040083,-3.213067038782384,0.0,-2.241196198632167,-2.397400948988718,-2.3045874000113713,-1.846021790747372,-2.1764625125283033,0.0
ACH-000004,SLC25A5,0.0,0.0,0.0,0.0,0.0,-3.8256331302291926,-3.213067038782384,0.0,-2.241196198632167,7.296920754434454,-2.3045874000113713,-1.846021790747372,32.245707466468644,0.0
ACH-000004,MCUB,0.0,0.0,0.0,0.0,0.0,-3.8256331302291926,-3.213067038782384,0.0,-2.241196198632167,7.282127575966145,-2.3045874000113713,-1.846021790747372,0.0,0.007264201223177849
ACH-000004,LIG3,2.0934585236755936,1.3396823722239048,2.6906093517442287,1.8084854872762435,2.6193411751036138,1.7182928466283443,0.0,-27.923793114503226,0.0,0.0,0.0,0.0,0.0,1.3396823722239333
ACH-000004,ACSM3,2.0934585236755936,1.3396823722239048,2.6906093517442287,1.8084854872762435,-26.89837070679372,1.7182928466283443,0.0,2.517403019217454,0.0,0.0,0.0,0.0,0.0,1.3396823722239333
ACH-000004,CROT,0.0,0.0,0.0,0.0,0.019214444017227782,-3.8256331302291926,-3.213067038782384,0.0,-2.241196198632167,-2.397400948988718,-2.3045874000113713,-1.846021790747372,-2.1764625125283033,0.0
ACH-000004,PDK2,0.0,0.0,0.0,-0.008357047540401025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000004,SPATA20,0.0,0.0,0.0,0.0,0.0,-0.0015679395705245596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000004,AGK,0.0,1.3396823722239048,0.0,1.8084854872762435,-0.5856283917393429,0.0,0.0,2.517403019217454,0.0054948598792187095,0.0,0.0,0.0,0.0,1.3396823722239333
ACH-000004,COX10,0.0,0.0,-0.0001893500218636905,0.0,0.0,-0.0003685132026054485,-3.213067038782384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000004,ELAC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.891155742342953,0.0,0.0,0.0,0.0,0.0,1.3396823722239333
ACH-000005,BAD,-2.093458523675622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03805744838408777,0.0
ACH-000005,LAP3,0.0,0.0,2.6906093517442287,1.8084854872762435,2.6193411751036138,0.0,3.2130670387824125,2.517403019217454,-31.293268292499473,2.397400948988661,2.3045874000113713,0.0,2.1764625125283033,1.3396823722238764
ACH-000005,NDUFAF7,-0.013144151109114332,0.0,2.6906093517442287,1.8084854872762435,2.6193411751036138,0.0,3.2130670387824125,2.517403019217454,2.241196198632167,2.397400948988661,2.3045874000113713,0.0,2.1764625125283033,1.3396823722238764
ACH-000005,ARF5,-2.093458523675622,0.0,0.0,0.0,0.0,0.011099226080345472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000005,POLDIP2,0.0,0.0,2.6906093517442287,0.0,0.0,0.0,0.0,-22.467048470957433,0.0,0.0,0.0,0.0,0.0,0.0
ACH-000005,AK2,0.0,1.3396823722239048,2.6906093517442287,1.8084854872762435,2.6193411751036138,5.543925976857537,3.2130670387824125,2.517403019217454,2.241196198632167,2.397400948988661,-30.374423610275567,1.8460217907473861,2.1764625125283033,1.3396823722238764
ACH-000005,NDUFAB1,-0.0009846890214718481,0.0,0.0,0.0,-0.0024806502134419213,-0.0012319362422430352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
