cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000001,NIH:OVCAR-3,NIHOVCAR3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,NIHOVCAR3_OVARY
ACH-000004,HEL,HEL,Myeloid,Acute Myeloid Leukemia,"AML, NOS",HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000005,HEL 92.1.7,HEL9217,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000007,LS513,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS513_LARGE_INTESTINE
ACH-000009,C2BBe1,C2BBE1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,C2BBE1_LARGE_INTESTINE
ACH-000011,253J,253J,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,253J_URINARY_TRACT
ACH-000012,HCC-827,HCC827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC827_LUNG
ACH-000013,ONCO-DG-1,ONCODG1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,ONCODG1_OVARY
ACH-000014,Hs 294T,HS294T,Skin,Melanoma,Melanoma,HS294T_SKIN
ACH-000015,NCI-H1581,NCIH1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1581_LUNG
ACH-000017,SK-BR-3,SKBR3,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,SKBR3_BREAST
ACH-000018,T24,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,T24_URINARY_TRACT
ACH-000019,MCF-7,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MCF7_BREAST
ACH-000021,NCI-H1693,NCIH1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1693_LUNG
ACH-000022,PA-TU-8988S,PATU8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PATU8988S_PANCREAS
ACH-000023,PA-TU-8988T,PATU8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PATU8988T_PANCREAS
ACH-000024,OPM-2,OPM2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000025,CH-157MN,CH157MN,CNS/Brain,Meningothelial Tumor,Meningioma,CH157MN_CENTRAL_NERVOUS_SYSTEM
ACH-000026,253J-BV,253JBV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,253JBV_URINARY_TRACT
ACH-000028,KPL-1,KPL1,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,KPL1_BREAST
ACH-000029,HCC-827-GR5,HCC827GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC827GR5_LUNG
ACH-000030,PC-14,PC14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,PC14_LUNG
ACH-000035,NCI-H1650,NCIH1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH1650_LUNG
ACH-000036,U343,U343,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",U343_CENTRAL_NERVOUS_SYSTEM
ACH-000037,S-117,S117,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",S117_THYROID
ACH-000039,SK-N-MC,SKNMC,Bone,Ewing Sarcoma,Ewing Sarcoma,SKNMC_BONE
ACH-000040,U-118 MG,U118MG,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",U118MG_CENTRAL_NERVOUS_SYSTEM
ACH-000041,RD-ES,RDES,Bone,Ewing Sarcoma,Ewing Sarcoma,RDES_BONE
