gene_symbol,human_gene_id,ensembl_gene_id,uniprot_id,synonyms,description,curated_gene_list,curation_evidence,sub_mito_location,pathways,targetp_score,mito_domain_score,coexpression_gnf_n50_score,pgc_induction_score,yeast_mito_homolog_score,rickettsia_homolog_score,msms_score
CYC1,1537,ENSG00000179091,P08574,MC3DN6|UQCR4,cytochrome c1,curated,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits,2.0,MitoDomain,49.0,1.24,OrthologMitoHighConf,Ortholog,50-75pure
SDHB,6390,ENSG00000117118,P21912,CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP,succinate dehydrogenase complex iron sulfur subunit B,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,1.0,MitoDomain,49.0,2.32,HomologMitoHighConf,Ortholog,75-100pure
COQ7,10229,ENSG00000167186,Q99807,CAT5|CLK-1|CLK1|COQ10D8,"coenzyme Q7, hydroxylase",curated,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,1.0,MitoDomain,49.0,,OrthologMitoHighConf,Ortholog,75-100pure
SDHA,6389,ENSG00000073578,P31040,CMD1GG|FP|PGL5|SDH1|SDH2|SDHF,succinate dehydrogenase complex flavoprotein subunit A,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,1.0,SharedDomain,47.0,1.8,OrthologMitoHighConf,Ortholog,75-100pure
UQCRC1,7384,ENSG00000010256,P31930,D3S3191|QCR1|UQCR1,ubiquinol-cytochrome c reductase core protein 1,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",1.0,MitoDomain,49.0,1.55,OrthologMitoLowConf,Homolog,50-75pure
COQ5,84274,ENSG00000110871,Q5HYK3,-,"coenzyme Q5, methyltransferase",curated,"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,2.0,MitoDomain,41.0,2.95,OrthologMitoHighConf,Homolog,50-75pure
PDHA1,5160,ENSG00000131828,P08559,PDHA|PDHAD|PDHCE1A|PHE1A,pyruvate dehydrogenase E1 subunit alpha 1,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,1.0,MitoDomain,45.0,1.13,OrthologMitoLowConf,Homolog,75-100pure
COQ9,57017,ENSG00000088682,O75208,C16orf49|COQ10D5,coenzyme Q9,curated,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,1.0,MitoDomain,28.0,1.8,OrthologMitoHighConf,Ortholog,50-75pure
MRPL12,6182,ENSG00000262814,P52815,5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12,mitochondrial ribosomal protein L12,curated,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome,1.0,SharedDomain,42.0,1.98,OrthologMitoHighConf,Ortholog,50-75pure
ATP5F1D,513,ENSG00000099624,P30049,ATP5D|MC5DN5,ATP synthase F1 subunit delta,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,2.0,MitoDomain,49.0,1.75,OrthologMitoHighConf,Ortholog,25-50pure
