pathway_name,description,n_genes
Mitochondrial_central_dogma,Mitochondrial_central_dogma,231
mtDNA_maintenance,Mitochondrial_central_dogma.mtDNA_maintenance,31
mtDNA_replication,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_replication,14
mtDNA_nucleoid,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_nucleoid,11
mtDNA_repair,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_repair,9
mtDNA_stability_and_decay,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_stability_and_decay,3
mtRNA_metabolism,Mitochondrial_central_dogma.mtRNA_metabolism,76
Transcription,Mitochondrial_central_dogma.mtRNA_metabolism.Transcription,8
mtRNA_granules,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,28
Polycistronic_mtRNA_processing,Mitochondrial_central_dogma.mtRNA_metabolism.Polycistronic_mtRNA_processing,13
mt-tRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,22
mt-rRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-rRNA_modifications,18
mt-mRNA_modifications,Mitochondrial_central_dogma.mtRNA_metabolism.mt-mRNA_modifications,4
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,17
Translation,Mitochondrial_central_dogma.Translation,155
Mitochondrial_ribosome,Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,83
Mitochondrial_ribosome_assembly,Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,24
Translation_factors,Mitochondrial_central_dogma.Translation.Translation_factors,16
mt-tRNA_synthetases,Mitochondrial_central_dogma.Translation.mt-tRNA_synthetases,22
fMet_processing,Mitochondrial_central_dogma.Translation.fMet_processing,3
Protein_import_sorting_and_homeostasis,Protein_import_sorting_and_homeostasis,86
Protein_import_and_sorting,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting,48
TOM,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.TOM,9
SAM,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.SAM,3
MIA40,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.MIA40,3
TIM22_carrier_pathway,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.TIM22_carrier_pathway,3
TIM23_presequence_pathway,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.TIM23_presequence_pathway,6
Import_motor,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.Import_motor,6
Preprotein_cleavage,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.Preprotein_cleavage,8
Protein_homeostasis,Protein_import_sorting_and_homeostasis.Protein_homeostasis,51
Proteases,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Proteases,28
Chaperones,Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,16
OXPHOS,OXPHOS,169
OXPHOS_subunits,OXPHOS.OXPHOS_subunits,102
OXPHOS_assembly_factors,OXPHOS.OXPHOS_assembly_factors,68
Complex_I,OXPHOS.Complex_I,66
CI_subunits,OXPHOS.Complex_I.CI_subunits,44
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,22
Complex_II,OXPHOS.Complex_II,8
CII_subunits,OXPHOS.Complex_II.CII_subunits,4
CII_assembly_factors,OXPHOS.Complex_II.CII_assembly_factors,4
Complex_III,OXPHOS.Complex_III,16
CIII_subunits,OXPHOS.Complex_III.CIII_subunits,10
CIII_assembly_factors,OXPHOS.Complex_III.CIII_assembly_factors,6
Complex_IV,OXPHOS.Complex_IV,51
CIV_subunits,OXPHOS.Complex_IV.CIV_subunits,21
CIV_assembly_factors,OXPHOS.Complex_IV.CIV_assembly_factors,30
Complex_V,OXPHOS.Complex_V,26
CV_subunits,OXPHOS.Complex_V.CV_subunits,21
CV_assembly_factors,OXPHOS.Complex_V.CV_assembly_factors,5
Respirasome_assembly,OXPHOS.Respirasome_assembly,4
Metabolism,Metabolism,461
Carbohydrate_metabolism,Metabolism.Carbohydrate_metabolism,73
Gluconeogenesis,Metabolism.Carbohydrate_metabolism.Gluconeogenesis,9
Malate-aspartate_shuttle,Metabolism.Carbohydrate_metabolism.Malate-aspartate_shuttle,6
Pyruvate_metabolism,Metabolism.Carbohydrate_metabolism.Pyruvate_metabolism,16
TCA_cycle,Metabolism.Carbohydrate_metabolism.TCA_cycle,20
TCA-associated,Metabolism.Carbohydrate_metabolism.TCA-associated,15
Itaconate_metabolism,Metabolism.Carbohydrate_metabolism.Itaconate_metabolism,6
Ketone_metabolism,Metabolism.Carbohydrate_metabolism.Ketone_metabolism,8
Propanoate_metabolism,Metabolism.Carbohydrate_metabolism.Propanoate_metabolism,4
Lipid_metabolism,Metabolism.Lipid_metabolism,123
Fatty_acid_oxidation,Metabolism.Lipid_metabolism.Fatty_acid_oxidation,44
Type_II_fatty_acid_synthesis,Metabolism.Lipid_metabolism.Type_II_fatty_acid_synthesis,9
Lipoate_insertion,Metabolism.Lipid_metabolism.Lipoate_insertion,4
Cardiolipin_synthesis,Metabolism.Lipid_metabolism.Cardiolipin_synthesis,16
Cholesterol_bile_acid_steroid_synthesis,Metabolism.Lipid_metabolism.Cholesterol_bile_acid_steroid_synthesis,14
Phospholipid_metabolism,Metabolism.Lipid_metabolism.Phospholipid_metabolism,23
Amino_acid_metabolism,Metabolism.Amino_acid_metabolism,90
Branched-chain_amino_acid_metabolism,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,25
Branched-chain_amino_acid_dehydrogenase_complex,Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_dehydrogenase_complex,6
Lysine_metabolism,Metabolism.Amino_acid_metabolism.Lysine_metabolism,16
Serine_metabolism,Metabolism.Amino_acid_metabolism.Serine_metabolism,5
Glycine_metabolism,Metabolism.Amino_acid_metabolism.Glycine_metabolism,15
Glycine_cleavage_system,Metabolism.Amino_acid_metabolism.Glycine_cleavage_system,4
Glutamate_metabolism,Metabolism.Amino_acid_metabolism.Glutamate_metabolism,8
Proline_metabolism,Metabolism.Amino_acid_metabolism.Proline_metabolism,6
Glyoxylate_metabolism,Metabolism.Amino_acid_metabolism.Glyoxylate_metabolism,8
GABA_metabolism,Metabolism.Amino_acid_metabolism.GABA_metabolism,7
Catechol_metabolism,Metabolism.Amino_acid_metabolism.Catechol_metabolism,3
Kynurenine_metabolism,Metabolism.Amino_acid_metabolism.Kynurenine_metabolism,3
Urea_cycle,Metabolism.Amino_acid_metabolism.Urea_cycle,7
Nucleotide_metabolism,Metabolism.Nucleotide_metabolism,40
Nucleotide_import,Metabolism.Nucleotide_metabolism.Nucleotide_import,10
Nucleotide_synthesis_and_processing,Metabolism.Nucleotide_metabolism.Nucleotide_synthesis_and_processing,24
Creatine_metabolism,Metabolism.Nucleotide_metabolism.Creatine_metabolism,4
Metals_and_cofactors,Metabolism.Metals_and_cofactors,122
Carnitine_synthesis_and_transport,Metabolism.Metals_and_cofactors.Carnitine_synthesis_and_transport,6
Carnitine_shuttle,Metabolism.Metals_and_cofactors.Carnitine_shuttle,5
Coenzyme_A_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_A_metabolism,5
Coenzyme_Q_metabolism,Metabolism.Metals_and_cofactors.Coenzyme_Q_metabolism,13
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,7
Iron_homeostasis,Metabolism.Metals_and_cofactors.Iron_homeostasis,5
Heme_synthesis_and_processing,Metabolism.Metals_and_cofactors.Heme_synthesis_and_processing,16
Fe-S_cluster_biosynthesis,Metabolism.Metals_and_cofactors.Fe-S_cluster_biosynthesis,23
Molybdenum_cofactor_synthesis_and_proteins,Metabolism.Metals_and_cofactors.Molybdenum_cofactor_synthesis_and_proteins,5
NAD_biosynthesis_and_metabolism,Metabolism.Metals_and_cofactors.NAD_biosynthesis_and_metabolism,14
Tetrahydrobiopterin_synthesis,Metabolism.Metals_and_cofactors.Tetrahydrobiopterin_synthesis,3
Fe-S-containing_proteins,Metabolism.Metals_and_cofactors.Fe-S-containing_proteins,31
Heme-containing_proteins,Metabolism.Metals_and_cofactors.Heme-containing_proteins,13
Vitamin_metabolism,Metabolism.Vitamin_metabolism,49
Choline_and_betaine_metabolism,Metabolism.Vitamin_metabolism.Choline_and_betaine_metabolism,7
Biotin_utilizing_proteins,Metabolism.Vitamin_metabolism.Biotin_utilizing_proteins,5
Vitamin_A_metabolism,Metabolism.Vitamin_metabolism.Vitamin_A_metabolism,5
Vitamin_B2_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B2_metabolism,3
Vitamin_B12_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B12_metabolism,4
Vitamin_D_metabolism,Metabolism.Vitamin_metabolism.Vitamin_D_metabolism,4
Folate_and_1-C_metabolism,Metabolism.Vitamin_metabolism.Folate_and_1-C_metabolism,21
Detoxification,Metabolism.Detoxification,51
Xenobiotic_metabolism,Metabolism.Detoxification.Xenobiotic_metabolism,23
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,27
Amidoxime_reducing_complex,Metabolism.Detoxification.Amidoxime_reducing_complex,4
Selenoproteins,Metabolism.Detoxification.Selenoproteins,5
Electron_carriers,Metabolism.Electron_carriers,15
Cytochromes,Metabolism.Electron_carriers.Cytochromes,4
Q-linked_reactions_other,Metabolism.Electron_carriers.Q-linked_reactions_other,11
Sulfur_metabolism,Metabolism.Sulfur_metabolism,11
Small_molecule_transport,Small_molecule_transport,85
SLC25A_family,Small_molecule_transport.SLC25A_family,51
ABC_transporters,Small_molecule_transport.ABC_transporters,8
Sideroflexins,Small_molecule_transport.Sideroflexins,5
Calcium_uniporter,Small_molecule_transport.Calcium_uniporter,6
Signaling,Signaling,48
Calcium_homeostasis,Signaling.Calcium_homeostasis,24
Calcium_cycle,Signaling.Calcium_homeostasis.Calcium_cycle,9
Mitochondrial_permeability_transition_pore,Signaling.Calcium_homeostasis.Mitochondrial_permeability_transition_pore,7
EF_hand_proteins,Signaling.Calcium_homeostasis.EF_hand_proteins,11
Immune_response,Signaling.Immune_response,5
cAMP-PKA_signaling,Signaling.cAMP-PKA_signaling,6
Mitochondrial_dynamics_and_surveillance,Mitochondrial_dynamics_and_surveillance,104
Fusion,Mitochondrial_dynamics_and_surveillance.Fusion,9
Fission,Mitochondrial_dynamics_and_surveillance.Fission,15
Organelle_contact_sites,Mitochondrial_dynamics_and_surveillance.Organelle_contact_sites,14
Intramitochondrial_membrane_interactions,Mitochondrial_dynamics_and_surveillance.Intramitochondrial_membrane_interactions,9
Trafficking,Mitochondrial_dynamics_and_surveillance.Trafficking,7
Mitophagy,Mitochondrial_dynamics_and_surveillance.Mitophagy,14
Autophagy,Mitochondrial_dynamics_and_surveillance.Autophagy,18
Apoptosis,Mitochondrial_dynamics_and_surveillance.Apoptosis,35
Cristae_formation,Mitochondrial_dynamics_and_surveillance.Cristae_formation,11
MICOS_complex,Mitochondrial_dynamics_and_surveillance.Cristae_formation.MICOS_complex,7
